github.com/jinzhu/inflection,https://github.com/jinzhu/inflection/blob/v1.0.0/LICENSE,MIT
github.com/jinzhu/now,https://github.com/jinzhu/now/blob/v1.1.5/License,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.18.0/LICENSE,Apache-2.0
github.com/lib/pq,https://github.com/lib/pq/blob/v1.10.9/LICENSE.md,MIT
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.13/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.19/LICENSE,MIT
github.com/mattn/go-sqlite3,https://github.com/mattn/go-sqlite3/blob/v1.14.22/LICENSE,MIT
github.com/munnerz/goautoneg,https://github.com/munnerz/goautoneg/blob/a7dc8b61c822/LICENSE,BSD-3-Clause
github.com/nats-io/nats.go,https://github.com/nats-io/nats.go/blob/v1.48.0/LICENSE,Apache-2.0
github.com/nats-io/nkeys,https://github.com/nats-io/nkeys/blob/v0.4.11/LICENSE,Apache-2.0
github.com/nats-io/nuid,https://github.com/nats-io/nuid/blob/v1.0.1/LICENSE,Apache-2.0
github.com/pion/datachannel,https://github.com/pion/datachannel/blob/v1.6.0/LICENSE,MIT
github.com/pion/dtls/v3,https://github.com/pion/dtls/blob/v3.0.10/LICENSE,MIT
github.com/pion/ice/v4,https://github.com/pion/ice/blob/v4.2.0/LICENSE,MIT
github.com/pion/interceptor,https://github.com/pion/interceptor/blob/v0.1.43/LICENSE,MIT
github.com/pion/logging,https://github.com/pion/logging/blob/v0.2.4/LICENSE,MIT
github.com/pion/mdns/v2,https://github.com/pion/mdns/blob/v2.1.0/LICENSE,MIT
github.com/pion/randutil,https://github.com/pion/randutil/blob/v0.1.0/LICENSE,MIT
github.com/pion/rtcp,https://github.com/pion/rtcp/blob/v1.2.16/LICENSE,MIT
github.com/pion/rtp,https://github.com/pion/rtp/blob/v1.10.0/LICENSE,MIT
github.com/pion/sctp,https://github.com/pion/sctp/blob/v1.9.2/LICENSE,MIT
